Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Task,JIRA-32,10068,Create diagrams using Draw.io,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:40 PM,31/Jan/25 1:56 AM,
Task,JIRA-31,10067,Write project overview in README,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:40 PM,31/Jan/25 1:56 AM,
Task,JIRA-30,10066,Write unit tests for User Model,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:39 PM,31/Jan/25 1:56 AM,
Task,JIRA-29,10065,Write unit tests for Task Model,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:39 PM,31/Jan/25 1:56 AM,
Task,JIRA-28,10064,Ensure users can only edit/delete their own tasks,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:39 PM,31/Jan/25 1:56 AM,
Task,JIRA-27,10063,Restrict task access to logged-in users,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:38 PM,31/Jan/25 1:56 AM,
Task,JIRA-26,10062,Implement a responsive design using Bootstrap,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:38 PM,31/Jan/25 1:35 AM,
Task,JIRA-25,10061,"Style forms (Login, Register, Task Create/Edit)",,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:38 PM,31/Jan/25 1:35 AM,
Task,JIRA-24,10060,Create a Bootstrap layout for task pages,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:37 PM,31/Jan/25 1:35 AM,
Task,JIRA-23,10059,"Implement status updates (pending, in progress, completed)",,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:37 PM,31/Jan/25 1:35 AM,
Task,JIRA-22,10058,Create CRUD functionalities ,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:36 PM,31/Jan/25 1:35 AM,
Task,JIRA-21,10057,Create task table migration  and Generate Task model,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:36 PM,31/Jan/25 1:35 AM,
Task,JIRA-20,10056,Implement logout functionality,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:35 PM,30/Jan/25 11:57 PM,
Task,JIRA-19,10055,Implement user login functionality,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:35 PM,30/Jan/25 11:57 PM,
Task,JIRA-18,10054,Implement user registration form,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:34 PM,30/Jan/25 11:57 PM,
Task,JIRA-17,10053,Generate User model,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:34 PM,30/Jan/25 9:51 PM,
Task,JIRA-16,10052,Create user table migration,,,Farid Rahimzada,712020:c6b58d00-188a-4e9d-a9d8-3d27a4c3e8b1,Medium,Done,Done,30/Jan/25 9:34 PM,30/Jan/25 9:50 PM,
